Company,Dates,ESG_DISCLOSURE_SCORE,SOCIAL_SCORE,ESG_UNCERTAINTY_RANKING
CFG US Equity,2022,,,
CHD US Equity,2017,,,
CHD US Equity,2018,,,
CHD US Equity,2019,,,
CHD US Equity,2020,,,
CHD US Equity,2021,,,
CHD US Equity,2022,,,
CHRW US Equity,2017,,,
CHRW US Equity,2018,,,
CHRW US Equity,2019,,,
CHRW US Equity,2020,,,
CHRW US Equity,2021,,,
CHRW US Equity,2022,,,
CHTR US Equity,2017,,,
CHTR US Equity,2018,,,
CHTR US Equity,2019,,,
CHTR US Equity,2020,,,
CHTR US Equity,2021,,,
CHTR US Equity,2022,,,
CI US Equity,2017,,,
CI US Equity,2018,,,
CI US Equity,2019,,,
CI US Equity,2020,,,
CI US Equity,2021,,,
CI US Equity,2022,,,
CINF US Equity,2017,,,
CINF US Equity,2018,,,
CINF US Equity,2019,,,
CINF US Equity,2020,,,
CINF US Equity,2021,,,
CINF US Equity,2022,,,
CL US Equity,2017,,,
CL US Equity,2018,,,
CL US Equity,2019,,,
CL US Equity,2020,,,
CL US Equity,2021,,,
CL US Equity,2022,,,
CLX US Equity,2017,,,
CLX US Equity,2018,,,
CLX US Equity,2019,,,
CLX US Equity,2020,,,
CLX US Equity,2021,,,
CLX US Equity,2022,,,
CMA US Equity,2017,,,
CMA US Equity,2018,,,
CMA US Equity,2019,,,
CMA US Equity,2020,,,
CMA US Equity,2021,,,
CMA US Equity,2022,,,
CMCSA US Equity,2017,,,
CMCSA US Equity,2018,,,
CMCSA US Equity,2019,,,
CMCSA US Equity,2020,,,
CMCSA US Equity,2021,,,
CMCSA US Equity,2022,,,
CME US Equity,2017,,,
CME US Equity,2018,,,
CME US Equity,2019,,,
CME US Equity,2020,,,
CME US Equity,2021,,,
CME US Equity,2022,,,
CMG US Equity,2017,,,
CMG US Equity,2018,,,
CMG US Equity,2019,,,
CMG US Equity,2020,,,
CMG US Equity,2021,,,
CMG US Equity,2022,,,
CMI US Equity,2017,,,
CMI US Equity,2018,,,
CMI US Equity,2019,,,
CMI US Equity,2020,,,
CMI US Equity,2021,,,
CMI US Equity,2022,,,
CMS US Equity,2017,,,
CMS US Equity,2018,,,
CMS US Equity,2019,,,
CMS US Equity,2020,,,
CMS US Equity,2021,,,
CMS US Equity,2022,,,
CNC US Equity,2017,,,
CNC US Equity,2018,,,
CNC US Equity,2019,,,
CNC US Equity,2020,,,
CNC US Equity,2021,,,
CNC US Equity,2022,,,
CNP US Equity,2017,,,
CNP US Equity,2018,,,
CNP US Equity,2019,,,
CNP US Equity,2020,,,
CNP US Equity,2021,,,
CNP US Equity,2022,,,
COF US Equity,2017,,,
COF US Equity,2018,,,
COF US Equity,2019,,,
COF US Equity,2020,,,
COF US Equity,2021,,,
COF US Equity,2022,,,
COL US Equity,2017,,,
COL US Equity,2018,,,
COL US Equity,2019,,,
COL US Equity,2020,,,
COL US Equity,2021,,,
COL US Equity,2022,,,
COO US Equity,2017,,,
COO US Equity,2018,,,
COO US Equity,2019,,,
COO US Equity,2020,,,
COO US Equity,2021,,,
COO US Equity,2022,,,
COP US Equity,2017,,,
COP US Equity,2018,,,
COP US Equity,2019,,,
COP US Equity,2020,,,
COP US Equity,2021,,,
COP US Equity,2022,,,
COR US Equity,2017,,,
COR US Equity,2018,,,
COR US Equity,2019,,,
COR US Equity,2020,,,
COR US Equity,2021,,,
COR US Equity,2022,,,
COST US Equity,2017,,,
COST US Equity,2018,,,
COST US Equity,2019,,,
COST US Equity,2020,,,
COST US Equity,2021,,,
COST US Equity,2022,,,
COTY US Equity,2017,,,
COTY US Equity,2018,,,
COTY US Equity,2019,,,
COTY US Equity,2020,,,
COTY US Equity,2021,,,
COTY US Equity,2022,,,
CPB US Equity,2017,,,
CPB US Equity,2018,,,
CPB US Equity,2019,,,
CPB US Equity,2020,,,
CPB US Equity,2021,,,
CPB US Equity,2022,,,
CPRI US Equity,2017,,,
CPRI US Equity,2018,,,
CPRI US Equity,2019,,,
CPRI US Equity,2020,,,
CPRI US Equity,2021,,,
CPRI US Equity,2022,,,
CPRT US Equity,2017,,,
CPRT US Equity,2018,,,
CPRT US Equity,2019,,,
CPRT US Equity,2020,,,
CPRT US Equity,2021,,,
CPRT US Equity,2022,,,
CPT US Equity,2017,,,
CPT US Equity,2018,,,
CPT US Equity,2019,,,
CPT US Equity,2020,,,
CPT US Equity,2021,,,
CPT US Equity,2022,,,
CRL US Equity,2017,,,
CRL US Equity,2018,,,
CRL US Equity,2019,,,
CRL US Equity,2020,,,
CRL US Equity,2021,,,
CRL US Equity,2022,,,
CRM US Equity,2017,,,
CRM US Equity,2018,,,
CRM US Equity,2019,,,
CRM US Equity,2020,,,
CRM US Equity,2021,,,
CRM US Equity,2022,,,
CSCO US Equity,2017,,,
CSCO US Equity,2018,,,
CSCO US Equity,2019,,,
CSCO US Equity,2020,,,
CSCO US Equity,2021,,,
CSCO US Equity,2022,,,
CSGP US Equity,2017,,,
CSGP US Equity,2018,,,
CSGP US Equity,2019,,,
CSGP US Equity,2020,,,
CSGP US Equity,2021,,,
CSGP US Equity,2022,,,
CSRA US Equity,2017,,,
CSRA US Equity,2018,,,
CSRA US Equity,2019,,,
CSRA US Equity,2020,,,
CSRA US Equity,2021,,,
CSRA US Equity,2022,,,
CSX US Equity,2017,,,
CSX US Equity,2018,,,
CSX US Equity,2019,,,
CSX US Equity,2020,,,
CSX US Equity,2021,,,
CSX US Equity,2022,,,
CTAS US Equity,2017,,,
CTAS US Equity,2018,,,
CTAS US Equity,2019,,,
CTAS US Equity,2020,,,
CTAS US Equity,2021,,,
CTAS US Equity,2022,,,
CTLT US Equity,2017,,,
CTLT US Equity,2018,,,
CTLT US Equity,2019,,,
CTLT US Equity,2020,,,
CTLT US Equity,2021,,,
CTLT US Equity,2022,,,
CTRA US Equity,2017,,,
CTRA US Equity,2018,,,
CTRA US Equity,2019,,,
CTRA US Equity,2020,,,
CTRA US Equity,2021,,,
CTRA US Equity,2022,,,
CTSH US Equity,2017,,,
CTSH US Equity,2018,,,
CTSH US Equity,2019,,,
CTSH US Equity,2020,,,
CTSH US Equity,2021,,,
CTSH US Equity,2022,,,
CTVA US Equity,2017,,,
CTVA US Equity,2018,,,
CTVA US Equity,2019,,,
CTVA US Equity,2020,,,
CTVA US Equity,2021,,,
CTVA US Equity,2022,,,
CTXS US Equity,2017,,,
CTXS US Equity,2018,,,
CTXS US Equity,2019,,,
CTXS US Equity,2020,,,
CTXS US Equity,2021,,,
CTXS US Equity,2022,,,
CVS US Equity,2017,,,
CVS US Equity,2018,,,
CVS US Equity,2019,,,
CVS US Equity,2020,,,
CVS US Equity,2021,,,
CVS US Equity,2022,,,
CVX US Equity,2017,,,
CVX US Equity,2018,,,
CVX US Equity,2019,,,
CVX US Equity,2020,,,
CVX US Equity,2021,,,
CVX US Equity,2022,,,
CX US Equity,2017,,,
CX US Equity,2018,,,
CX US Equity,2019,,,
CX US Equity,2020,,,
CX US Equity,2021,,,
CX US Equity,2022,,,
CXO US Equity,2017,,,
CXO US Equity,2018,,,
CXO US Equity,2019,,,
CXO US Equity,2020,,,
CXO US Equity,2021,,,
CXO US Equity,2022,,,
CZR US Equity,2017,,,
CZR US Equity,2018,,,
CZR US Equity,2019,,,
CZR US Equity,2020,,,
CZR US Equity,2021,,,
CZR US Equity,2022,,,
D US Equity,2017,,,
D US Equity,2018,,,
D US Equity,2019,,,
D US Equity,2020,,,
D US Equity,2021,,,
D US Equity,2022,,,
DAL US Equity,2017,,,
DAL US Equity,2018,,,
DAL US Equity,2019,,,
DAL US Equity,2020,,,
DAL US Equity,2021,,,
DAL US Equity,2022,,,
DD US Equity,2017,,,
DD US Equity,2018,,,
DD US Equity,2019,,,
DD US Equity,2020,,,
DD US Equity,2021,,,
DD US Equity,2022,,,
DE US Equity,2017,,,
DE US Equity,2018,,,
DE US Equity,2019,,,
DE US Equity,2020,,,
DE US Equity,2021,,,
DE US Equity,2022,,,
DFS US Equity,2017,,,
DFS US Equity,2018,,,
DFS US Equity,2019,,,
DFS US Equity,2020,,,
DFS US Equity,2021,,,
DFS US Equity,2022,,,
DG US Equity,2017,,,
DG US Equity,2018,,,
DG US Equity,2019,,,
DG US Equity,2020,,,
DG US Equity,2021,,,
DG US Equity,2022,,,
DGX US Equity,2017,,,
DGX US Equity,2018,,,
DGX US Equity,2019,,,
DGX US Equity,2020,,,
DGX US Equity,2021,,,
DGX US Equity,2022,,,
DHI US Equity,2017,,,
DHI US Equity,2018,,,
DHI US Equity,2019,,,
DHI US Equity,2020,,,
DHI US Equity,2021,,,
DHI US Equity,2022,,,
DHR US Equity,2017,,,
DHR US Equity,2018,,,
DHR US Equity,2019,,,
DHR US Equity,2020,,,
DHR US Equity,2021,,,
DHR US Equity,2022,,,
DINO US Equity,2017,,,
DINO US Equity,2018,,,
DINO US Equity,2019,,,
DINO US Equity,2020,,,
DINO US Equity,2021,,,
DINO US Equity,2022,,,
DIS US Equity,2017,,,
DIS US Equity,2018,,,
DIS US Equity,2019,,,
DIS US Equity,2020,,,
DIS US Equity,2021,,,
DIS US Equity,2022,,,
DISCK US Equity,2017,,,
DISCK US Equity,2018,,,
DISCK US Equity,2019,,,
